note,pitch,chord,bar,mapped voice,cost,category
2,55,1,1 1/1,2,0,repetition
3,58,1,1 1/1,4,0,repetition
4,55,2,1 3/2,2,0,repetition
5,58,2,1 3/2,4,0,repetition
8,55,4,2 1/4,4,n/a,ornamentation
9,53,5,2 1/2,4,n/a,ornamentation
10,52,6,2 3/4,4,n/a,ornamentation
12,53,7,2 1/1,4,0,repetition
13,52,8,2 5/4,2,n/a,ornamentation
14,53,9,2 3/2,2,n/a,ornamentation
15,50,10,2 7/4,2,n/a,ornamentation
18,50,12,3 1/4,2,n/a,ornamentation
19,52,13,3 1/2,2,n/a,ornamentation
20,53,14,3 3/4,2,n/a,ornamentation
21,52,15,3 1/1,2,0,repetition
22,55,15,3 1/1,4,0,repetition
23,57,16,3 5/4,2,n/a,ornamentation
24,55,17,3 21/16,2,n/a,ornamentation
25,53,18,3 11/8,2,n/a,ornamentation
26,52,19,3 23/16,2,n/a,ornamentation
28,50,21,3 13/8,2,n/a,ornamentation
29,52,22,3 7/4,2,n/a,ornamentation
30,53,23,3 15/8,2,n/a,ornamentation
34,54,25,4 1/4,3,n/a,ornamentation
35,55,26,4 1/2,3,n/a,ornamentation
36,57,27,4 3/4,3,n/a,ornamentation
37,43,28,4 1/1,5,0,repetition
38,55,28,4 1/1,2,0,repetition
39,58,28,4 1/1,3,0,repetition
41,45,29,4 5/4,5,n/a,ornamentation
42,46,30,4 3/2,5,n/a,ornamentation
43,48,31,4 7/4,5,n/a,ornamentation
47,62,32,5,4,0,repetition
48,60,33,5 1/4,4,n/a,ornamentation
49,62,34,5 1/2,4,0,repetition
50,64,35,5 3/4,4,n/a,ornamentation
52,53,36,5 1/1,3,0,repetition
55,69,37,5 9/8,4,n/a,ornamentation
56,71,38,5 5/4,4,n/a,ornamentation
57,69,39,5 11/8,4,n/a,ornamentation
58,67,40,5 3/2,4,2,other
59,65,41,5 13/8,4,n/a,ornamentation
60,64,42,5 7/4,4,n/a,ornamentation
61,62,43,5 15/8,4,n/a,ornamentation
66,48,45,6 1/1,5,0,repetition
67,55,45,6 1/1,3,0,repetition
68,60,45,6 1/1,1,0,repetition
69,64,45,6 1/1,4,0,repetition
71,45,47,6 7/4,5,n/a,ornamentation
78,55,49,7 1/1,2,0,repetition
79,58,49,7 1/1,1,0,repetition
81,74,49,7 1/1,0,0,repetition
82,43,50,7 3/2,5,0,repetition
83,55,50,7 3/2,2,0,repetition
84,58,50,7 3/2,1,0,repetition
85,62,50,7 3/2,4,0,repetition
86,74,50,7 3/2,0,0,repetition
89,62,51,8,4,0,repetition
91,64,52,8 1/4,4,n/a,ornamentation
92,65,53,8 1/2,4,3,other
93,67,54,8 3/4,3,n/a,ornamentation
98,62,56,8 5/4,3,n/a,ornamentation
99,64,57,8 11/8,3,n/a,ornamentation
100,65,58,8 3/2,3,0,repetition
101,67,59,8 13/8,0,n/a,ornamentation
102,69,60,8 7/4,0,n/a,ornamentation
103,71,61,8 15/8,0,n/a,ornamentation
108,53,63,9 1/4,5,n/a,ornamentation
109,52,64,9 1/2,5,n/a,ornamentation
110,50,65,9 3/4,5,n/a,ornamentation
111,48,66,9 1/1,5,0,repetition
112,55,66,9 1/1,2,0,repetition
113,64,66,9 1/1,3,0,repetition
114,72,66,9 1/1,0,0,repetition
116,45,68,9 7/4,5,n/a,ornamentation
121,64,70,10 1/4,0,n/a,ornamentation
122,65,71,10 3/8,0,n/a,ornamentation
123,67,72,10 1/2,0,n/a,ornamentation
124,69,73,10 5/8,0,n/a,ornamentation
125,70,74,10 3/4,0,n/a,ornamentation
126,72,75,10 7/8,0,n/a,ornamentation
131,54,77,10 9/8,4,n/a,ornamentation
132,55,78,10 5/4,4,n/a,ornamentation
133,57,79,10 11/8,4,n/a,ornamentation
134,58,80,10 3/2,4,n/a,ornamentation
135,60,81,10 13/8,4,n/a,ornamentation
136,62,82,10 7/4,4,n/a,ornamentation
137,64,83,10 15/8,4,n/a,ornamentation
142,53,85,11 1/4,2,n/a,ornamentation
143,55,86,11 1/2,2,n/a,ornamentation
144,57,87,11 3/4,2,n/a,ornamentation
149,69,89,11 5/4,4,n/a,ornamentation
150,67,90,11 3/2,4,n/a,ornamentation
151,65,91,11 7/4,4,n/a,ornamentation
157,48,93,12 1/1,5,0,repetition
158,52,93,12 1/1,2,0,repetition
159,60,93,12 1/1,1,0,repetition
160,64,93,12 1/1,4,0,repetition
161,67,93,12 1/1,0,0,repetition
162,66,94,12 5/4,0,n/a,ornamentation
163,62,95,12 3/2,0,n/a,ornamentation
164,64,96,12 7/4,0,n/a,ornamentation
168,66,97,13,0,1,ficta
173,60,99,13 5/4,3,n/a,ornamentation
174,62,100,13 3/2,3,n/a,ornamentation
175,64,101,13 7/4,3,n/a,ornamentation
180,53,103,14 1/4,2,n/a,ornamentation
181,55,104,14 1/2,2,n/a,ornamentation
182,57,105,14 3/4,2,n/a,ornamentation
187,69,107,14 9/8,0,n/a,ornamentation
188,70,108,14 5/4,0,n/a,ornamentation
189,72,109,14 11/8,0,n/a,ornamentation
190,70,110,14 3/2,0,n/a,ornamentation
191,69,111,14 7/4,0,n/a,ornamentation
197,48,113,15 1/1,5,0,repetition
198,52,113,15 1/1,2,0,repetition
199,60,113,15 1/1,1,0,repetition
200,64,113,15 1/1,3,0,repetition
201,67,113,15 1/1,0,0,repetition
202,70,114,15 5/4,0,n/a,ornamentation
203,69,115,15 3/2,0,n/a,ornamentation
204,67,116,15 7/4,0,n/a,ornamentation
208,66,117,16,0,1,ficta
209,67,118,16 1/4,0,n/a,ornamentation
210,66,119,16 1/2,0,n/a,ornamentation
211,64,120,16 3/4,0,n/a,ornamentation
214,66,121,16 1/1,0,1,ficta
215,47,122,16 5/4,2,n/a,ornamentation
216,48,123,16 11/8,2,n/a,ornamentation
217,50,124,16 3/2,2,n/a,ornamentation
218,52,125,16 13/8,2,n/a,ornamentation
219,53,126,16 7/4,2,n/a,ornamentation
220,50,127,16 15/8,2,n/a,ornamentation
221,45,128,17,5,1,other
225,46,129,17 1/2,5,n/a,ornamentation
226,45,130,17 3/4,5,n/a,ornamentation
231,45,132,17 5/4,5,n/a,ornamentation
232,46,133,17 3/2,5,n/a,ornamentation
233,48,134,17 7/4,5,n/a,ornamentation
238,55,136,18 1/4,2,n/a,ornamentation
239,53,137,18 1/2,2,n/a,ornamentation
241,50,139,18 1/1,5,0,repetition
243,57,139,18 1/1,4,0,repetition
244,62,139,18 1/1,3,0,repetition
245,58,140,18 5/4,1,n/a,ornamentation
246,57,141,18 21/16,1,n/a,ornamentation
247,55,142,18 11/8,1,n/a,ornamentation
248,53,143,18 23/16,1,n/a,ornamentation
249,55,144,18 3/2,1,n/a,ornamentation
250,53,145,18 13/8,1,n/a,ornamentation
251,55,146,18 7/4,1,n/a,ornamentation
252,57,147,18 15/8,1,n/a,ornamentation
256,62,148,19,3,0,repetition
257,54,149,19 1/4,2,n/a,ornamentation
258,55,150,19 1/2,2,n/a,ornamentation
259,57,151,19 3/4,2,n/a,ornamentation
264,64,153,19 5/4,0,n/a,ornamentation
265,65,154,19 3/2,0,n/a,ornamentation
266,62,155,19 7/4,0,n/a,ornamentation
268,55,156,20,4,0,repetition
271,67,157,20 1/8,3,n/a,ornamentation
272,65,158,20 1/4,3,n/a,ornamentation
273,64,159,20 3/8,3,n/a,ornamentation
274,62,160,20 1/2,3,2,other
275,60,161,20 5/8,3,n/a,ornamentation
276,59,162,20 3/4,3,n/a,ornamentation
277,57,163,20 7/8,3,n/a,ornamentation
280,59,164,20 1/1,3,1,ficta
283,60,165,20 5/4,2,n/a,ornamentation
284,62,166,20 3/2,2,n/a,ornamentation
285,64,167,20 7/4,2,n/a,ornamentation
289,66,168,21,0,1,ficta
290,67,169,21 1/4,0,n/a,ornamentation
291,66,170,21 1/2,0,n/a,ornamentation
294,57,172,21 1/1,3,0,repetition
295,62,172,21 1/1,2,0,repetition
296,66,172,21 1/1,0,2,ficta
297,64,173,21 5/4,2,n/a,ornamentation
298,50,174,21 3/2,5,0,repetition
299,57,174,21 3/2,3,0,repetition
300,62,174,21 3/2,2,0,repetition
301,67,174,21 3/2,0,2,other
302,66,175,21 7/4,0,n/a,ornamentation
308,64,177,22 1/4,0,n/a,ornamentation
309,65,178,22 3/8,0,n/a,ornamentation
310,67,179,22 1/2,0,n/a,ornamentation
311,69,180,22 3/4,0,n/a,ornamentation
313,55,181,22 1/1,3,0,repetition
314,62,181,22 1/1,4,0,repetition
321,69,184,23 1/8,0,n/a,ornamentation
322,70,185,23 1/4,0,n/a,ornamentation
323,72,186,23 3/8,0,n/a,ornamentation
331,64,192,23 7/4,1,n/a,ornamentation
335,70,194,24 1/4,0,n/a,ornamentation
338,53,197,24 1/1,5,0,repetition
339,60,197,24 1/1,4,0,repetition
340,65,197,24 1/1,1,0,repetition
342,67,198,24 5/4,0,n/a,ornamentation
343,53,199,24 3/2,5,0,repetition
344,60,199,24 3/2,4,0,repetition
345,70,199,24 3/2,0,1,other
346,69,200,24 7/4,0,n/a,ornamentation
351,63,202,25 1/4,3,n/a,ornamentation
352,62,203,25 1/2,3,n/a,ornamentation
353,60,204,25 3/4,3,n/a,ornamentation
356,62,205,25 1/1,3,0,repetition
358,72,206,25 5/4,0,n/a,ornamentation
359,70,207,25 3/2,0,n/a,ornamentation
360,69,208,25 7/4,0,n/a,ornamentation
365,72,210,26 1/4,0,n/a,ornamentation
371,74,214,26 5/4,0,0,repetition
372,72,215,26 3/2,0,0,repetition
373,64,216,26 7/4,2,0,repetition
374,70,216,26 7/4,0,0,repetition
375,53,217,27 1/1,5,0,repetition
376,60,217,27 1/1,3,0,repetition
377,65,217,27 1/1,2,0,repetition
378,70,218,27 5/4,0,n/a,ornamentation
379,53,219,27 3/2,5,0,repetition
380,65,219,27 3/2,2,0,repetition
381,72,219,27 3/2,0,3,other
382,69,220,27 7/4,0,n/a,ornamentation
387,51,222,28 1/4,5,n/a,ornamentation
388,50,223,28 1/2,5,n/a,ornamentation
389,48,224,28 3/4,5,n/a,ornamentation
390,46,225,28 1/1,5,0,repetition
394,70,225,28 1/1,0,0,repetition
395,57,226,28 3/2,1,n/a,ornamentation
396,55,227,28 7/4,1,n/a,ornamentation
399,64,228,29,2,1,other
400,65,229,29 1/4,2,n/a,ornamentation
401,67,230,29 1/2,2,n/a,ornamentation
403,57,232,29 1/1,1,0,repetition
404,60,232,29 1/1,4,0,repetition
409,62,234,29 7/4,2,n/a,ornamentation
412,62,235,30,2,2,other
413,50,236,30 1/4,1,3,other
427,62,242,31 1/4,0,n/a,ornamentation
428,65,243,31 1/2,0,n/a,ornamentation
433,48,246,31 5/4,2,n/a,ornamentation
435,52,248,31 7/4,5,n/a,ornamentation
439,50,250,32 1/4,5,n/a,ornamentation
440,52,251,32 1/2,5,n/a,ornamentation
441,53,252,32 3/4,5,n/a,ornamentation
444,60,253,32 1/1,3,0,repetition
453,47,258,33 5/8,5,n/a,ornamentation
454,48,259,33 3/4,5,n/a,ornamentation
455,45,260,33 7/8,5,n/a,ornamentation
460,62,262,33 3/2,4,0,repetition
465,47,264,34 1/2,5,n/a,ornamentation
466,48,265,34 3/4,5,n/a,ornamentation
470,52,267,34 5/4,2,n/a,ornamentation
472,48,269,34 7/4,2,n/a,ornamentation
481,58,272,35 1/1,4,0,repetition
483,70,273,35 5/4,0,n/a,ornamentation
484,69,274,35 3/2,0,n/a,ornamentation
485,67,275,35 7/4,0,n/a,ornamentation
489,62,276,36,3,5,other
491,48,277,36 1/4,1,n/a,ornamentation
493,52,279,36 3/4,1,n/a,ornamentation
494,50,280,36 1/1,5,0,repetition
496,57,280,36 1/1,4,0,repetition
498,69,280,36 1/1,0,0,repetition
499,48,281,36 9/8,2,n/a,ornamentation
500,50,282,36 5/4,2,n/a,ornamentation
501,52,283,36 11/8,2,n/a,ornamentation
502,53,284,36 3/2,2,0,repetition
503,50,285,36 7/4,1,n/a,ornamentation
507,69,287,37 1/8,0,n/a,ornamentation
508,72,288,37 1/4,0,n/a,ornamentation
509,70,289,37 3/8,0,n/a,ornamentation
510,69,290,37 1/2,0,n/a,ornamentation
511,67,291,37 5/8,0,n/a,ornamentation
512,65,292,37 3/4,0,n/a,ornamentation
513,64,293,37 7/8,0,n/a,ornamentation
517,55,295,37 9/8,2,n/a,ornamentation
518,57,296,37 5/4,2,n/a,ornamentation
519,55,297,37 11/8,2,n/a,ornamentation
520,53,298,37 3/2,2,0,repetition
521,51,299,37 13/8,2,n/a,ornamentation
522,50,300,37 7/4,2,n/a,ornamentation
523,48,301,37 15/8,2,n/a,ornamentation
535,60,305,38 5/4,1,n/a,ornamentation
537,64,307,38 7/4,1,n/a,ornamentation
543,69,309,39 1/4,0,n/a,ornamentation
544,72,310,39 1/2,0,3,other
545,71,311,39 5/8,0,n/a,ornamentation
546,69,312,39 3/4,0,n/a,ornamentation
547,67,313,39 7/8,0,n/a,ornamentation
548,50,314,39 1/1,5,0,repetition
549,57,314,39 1/1,4,0,repetition
550,65,314,39 1/1,1,3,other
552,67,315,39 9/8,0,n/a,ornamentation
553,69,316,39 5/4,0,n/a,ornamentation
554,67,317,39 21/16,0,n/a,ornamentation
555,69,318,39 11/8,0,n/a,ornamentation
556,70,319,39 23/16,0,n/a,ornamentation
557,69,320,39 3/2,0,0,repetition
558,65,321,39 13/8,0,n/a,ornamentation
559,67,322,39 7/4,0,n/a,ornamentation
560,69,323,39 15/8,0,n/a,ornamentation
564,70,324,40,0,0,repetition
568,43,328,40 1/1,5,0,repetition
570,62,328,40 1/1,4,0,repetition
572,60,329,40 5/4,4,n/a,ornamentation
574,64,331,40 7/4,0,n/a,ornamentation
577,58,333,41 1/4,2,n/a,ornamentation
578,62,334,41 1/2,2,n/a,ornamentation
579,58,335,41 3/4,2,0,repetition
583,64,337,41 9/8,0,n/a,ornamentation
584,65,338,41 5/4,0,n/a,ornamentation
585,62,339,41 11/8,0,n/a,ornamentation
586,67,340,41 3/2,0,2,other
587,65,341,41 13/8,0,n/a,ornamentation
588,64,342,41 7/4,0,n/a,ornamentation
589,62,343,41 15/8,0,n/a,ornamentation
592,64,344,42,0,0,repetition
597,50,347,42 3/4,2,n/a,ornamentation
601,61,349,42 5/4,0,n/a,ornamentation
602,62,350,42 3/2,0,0,repetition
603,61,351,42 13/8,0,n/a,ornamentation
604,59,352,42 7/4,0,n/a,ornamentation
605,61,353,42 15/8,0,n/a,ornamentation
610,48,355,43 1/4,2,n/a,ornamentation
611,50,356,43 1/2,2,n/a,ornamentation
612,52,357,43 3/4,2,n/a,ornamentation
613,50,358,43 1/1,2,0,repetition
614,57,358,43 1/1,5,0,repetition
615,62,358,43 1/1,3,0,repetition
618,58,360,44,5,0,repetition
620,60,361,44 1/8,1,n/a,ornamentation
621,62,362,44 1/4,1,n/a,ornamentation
622,64,363,44 3/8,1,n/a,ornamentation
624,64,365,44 3/4,3,n/a,ornamentation
625,62,366,44 7/8,3,n/a,ornamentation
628,59,368,44 9/8,1,n/a,ornamentation
629,60,369,44 5/4,1,n/a,ornamentation
630,62,370,44 11/8,1,n/a,ornamentation
632,62,372,44 7/4,3,n/a,ornamentation
633,60,373,44 15/8,3,n/a,ornamentation
636,60,375,45 1/8,1,n/a,ornamentation
638,64,377,45 3/8,1,n/a,ornamentation
642,50,379,45 3/4,5,n/a,ornamentation
649,64,383,46 1/4,2,n/a,ornamentation
650,65,384,46 1/2,2,n/a,ornamentation
651,48,385,46 3/4,2,n/a,ornamentation
653,53,386,46 1/1,3,0,repetition
654,57,386,46 1/1,4,4,other
656,50,387,46 3/2,5,0,repetition
657,53,387,46 3/2,3,0,repetition
658,57,387,46 3/2,4,5,other
659,65,387,46 3/2,0,0,repetition
665,66,389,47 1/2,0,1,ficta
669,60,391,47 9/8,0,n/a,ornamentation
670,62,392,47 5/4,0,n/a,ornamentation
671,64,393,47 11/8,0,n/a,ornamentation
672,65,394,47 3/2,0,n/a,ornamentation
673,67,395,47 13/8,0,n/a,ornamentation
674,69,396,47 7/4,0,n/a,ornamentation
675,70,397,47 15/8,0,n/a,ornamentation
680,55,399,48 1/4,2,n/a,ornamentation
682,53,401,48 3/4,2,n/a,ornamentation
689,52,404,49,3,1,ficta
691,61,405,49 1/2,1,3,other
705,64,411,50 5/4,0,n/a,ornamentation
706,65,412,50 3/2,0,n/a,ornamentation
707,67,413,50 7/4,0,n/a,ornamentation
712,52,415,51 1/2,5,1,other
713,55,415,51 1/2,4,2,other
714,60,415,51 1/2,1,2,other
715,48,416,51 3/4,3,n/a,ornamentation
716,52,417,51 1/1,3,1,ficta
718,62,418,51 5/4,1,n/a,ornamentation
721,53,420,51 7/4,5,n/a,ornamentation
724,60,422,52 1/4,0,n/a,ornamentation
725,62,423,52 1/2,0,n/a,ornamentation
726,64,424,52 3/4,0,5,other
741,60,430,53 5/4,0,n/a,ornamentation
742,62,431,53 3/2,0,n/a,ornamentation
743,64,432,53 7/4,0,n/a,ornamentation
751,53,436,54 9/8,4,n/a,ornamentation
752,55,437,54 5/4,4,n/a,ornamentation
753,57,438,54 11/8,4,n/a,ornamentation
754,55,439,54 3/2,4,0,repetition
755,50,440,54 7/4,5,0,repetition
756,53,440,54 7/4,4,0,repetition
757,52,441,55,5,2,ficta
759,60,442,55 1/4,0,n/a,ornamentation
760,62,443,55 1/2,0,n/a,ornamentation
761,64,444,55 3/4,0,5,other
765,59,446,55 5/4,3,n/a,ornamentation
