ornament,voice,bar,pitch
E -3 E 2 E 1 E 2 E,4,2 1/8,43
E -2 S 2 S 2 S -2 S -2 S -1 S 1 H,4,2 5/8,46
Q 0 S 2 S 1 S 2 S -5 Q,5,4 1/4,43
E -3 E 2 E 1 E 2 E,5,5 1/8,43
E -1 S 1 S 2 S -2 S -1 S -2 S 2 H,4,5 5/8,50
E. 10 S 2 S 2 S 1 S 2 S -2 Q,5,6 11/16,53
Q -6 S 1 S 2 S 2 S 1 Q,5,7 1/4,52
E 8 S -1 S -2 S -2 S -1 S -2 S -2 Q.,4,8 5/8,63
E 5 E,4,9 7/8,55
E -1 E,5,10 5/8,52
E 2 S -2 S -1 E,5,12 3/8,57
E 1 E,5,12 5/8,55
E -1 E,5,12 7/8,54
E. -4 S 1 S 2 S 1 S 2 S -2 Q,3,13 3/16,54
E -2 S -2 S -1 S 1 S 2 S 2 S 1 E,3,14 1/8,60
E 2 E 1 E 2 E 2 Q,4,14 5/8,50
E. 2 S -2 S 2 S 1 S 2 S -2 Q,2,15 11/16,57
R 0 S 2 S -2 S -2 S -1 S -2 E,5,17 3/16,53
E -2 S 2 S 2 S -2 S -2 S -1 S 1 E,1,17 5/8,58
R 0 S -1 S -2 S -2 S -2 S -1 S 1 E,3,18 1/8,65
E -7 S 2 S 2 S 1 S 2 S 2 S -2 E,0,18 5/8,60
R 0 T -2 T -1 T 1 T 2 Q,3,19 1/8,60
E -1 E -2 E 3 E -1 E,1,20 5/8,62
E -7 S 2 S 1 S 2 S 2 S 1 S -1 Q,0,21 1/8,62
R 0 S 1 S 2 S -2 E,3,28 1/16,57
S -1 S 1 T -1 T 1 T 2 T -2 E,3,29 1/16,57
R 0 S 2 S 2 S,1,33 5/8,58
R 0 S,2,33 13/16,60
S -1 S,2,33 15/16,57
E -10 S 2 S 2 S 1 S 2 S 2 S 1 Q,0,34 1/8,60
E -1 E,3,38 1/8,50
R 0 S,4,42 13/16,53
R 0 S,3,42 15/16,57
E -1 S -2 S 2 S,3,44 5/8,59
S 1 S -3 S 2 S 1 E.,3,44 13/16,60
E. 1 S 2 S -2 S -1 S -2 S 2 Q,2,45 3/16,65
R 0 E,2,47 5/8,62
R 0 E,1,47 7/8,60
R 0 S 1 S 2 S 2 E,0,48 5/16,64
R 0 E,1,48 5/8,67
R 0 E,0,48 7/8,69
R 0 E,1,49 5/8,62
R 0 E,2,49 7/8,60
R 0 S -2 S -2 S,2,50 5/8,64
R 0 S 2 S 1 S 2 Q,0,50 13/16,62
R 0 S -2 S 2 S 2 S -4 S 2 S 2 E,1,51 5/8,60
R 0 S 2 S 1 S,2,52 1/8,62
R 0 S 2 S 1 S -1 E,0,52 5/16,67
E 1 T -1 T -2 T 2 T 1 E,0,52 5/8,70
E -1 E,0,52 7/8,69
S -2 S 2 T -2 T -2 T 2 T -2 Q,3,53 13/16,60
E -2 E,2,54 5/8,60
S -2 S -2 S -1 S 1 Q,2,54 13/16,60
E -1 S -2 S 2 E,0,56 1/8,69
E 1 E,0,56 3/8,70
E 2 T -2 T -1 T 1 T -1 E,1,57 3/8,60
E -1 S -2 S 2 S,0,57 5/8,66
S 1 S -3 S 2 S 1 E.,0,57 13/16,67
E. -1 S -2 S 2 S 1 S,2,58 3/16,57
S 2 S,2,58 7/16,60
E -2 S 2 S 1 Q,2,58 5/8,60
E -1 S -2 S 2 S,5,59 1/8,47
S 1 S -3 S 2 S 1 Q,5,59 5/16,48
E -2 E,4,62 7/8,48
E -1 T -2 T -2 T 2 T 2 E,5,63 1/8,52
R 0 S 2 S 2 S 2 S 1 E.,1,63 3/4,48
E. -1 S -2 S 2 S 1 S,3,64 3/16,57
S 2 S,3,64 7/16,60
E -2 S 2 S 1 E,3,64 5/8,60
E -1 S 1 S -1 E,3,64 7/8,62
E -1 S -2 S 3 S,1,65 1/8,59
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,65 5/16,59
E -2 T 2 T 2 T 2 T 1 Q,1,66 1/8,60
R 0 S -2 S 2 E,2,67 1/8,59
E 1 T -1 T -2 T 2 T 1 E,2,67 3/8,60
E 2 E,2,67 5/8,62
E -3 T 2 T 1 T 2 T -2 E 0 E,1,68 7/8,62
R 0 S 2 S 2 S -2 S -2 S -1 S 1 E,3,69 5/8,58
E -3 E 3 E 2 E -2 Q,3,70 1/8,55
Q -3 S 2 S 1 S 2 S -2 E.,3,70 3/4,55
E. 2 S -2 S 2 S 1 S 2 S 2 E,4,71 3/16,45
E -1 E -2 S 2 S 1 T -1 T 1 T 2 T -2 E,3,71 5/8,57
E -2 S 2 S -2 E,4,72 1/8,48
R 0 E,3,72 7/8,58
E 1 E,3,73 3/8,58
E 1 E,3,74 1/8,55
E -1 E,3,74 3/8,54
R 0 S 1 S 2 S 2 S 2 S 2 S 1 H,1,74 5/8,57
R 0 E 1 E 2 E -2 Q,2,75 5/8,54
Q 0 S 2 S 1 S 2 S 2 E.,2,76 1/4,55
E. -1 S -2 S 2 S 1 S 2 S -2 E,1,76 11/16,64
E 2 S -2 S -1 E,1,77 1/8,67
E 1 E,0,78 3/8,70
R 0 E,0,78 7/8,67
S -2 S,0,79 3/16,64
S 1 S -3 S 2 S 1 E,0,79 5/16,67
E -1 S -2 S -1 S 1 S 2 S 1 S 2 E.,1,79 5/8,57
