ornament,voice,bar,pitch
Q -2 E 2 E 1 H,1,1 5/4,55
R 0 Q,1,3 3/4,57
E 2 E,0,7 3/8,69
Q -2 Q 2 Q -2 Q,0,10 7/4,69
Q -2 Q 2 Q -2 Q,0,11 7/4,69
R 0 Q,0,12 5/4,68
Q -1 Q,0,12 7/4,68
Q 2 Q,0,13 1/4,71
Q -3 Q,0,13 3/4,69
Q -2 E 2 E 1 H,1,15 5/4,62
H 1 Q,1,20,65
Q -5 Q 2 Q -2 E 2 E 1 Q,0,20 5/4,59
Q 2 Q,0,21 1/4,64
Q 0 Q,1,21 3/4,62
R 0 E,0,23 11/8,69
R 0 Q,3,26 1/4,55
Q 2 Q,0,30 5/4,69
Q -2 Q,2,30 7/4,60
R 0 E -2 E -1 E -2 Q,1,31 1/8,60
R 0 Q,0,31 3/4,70
R 0 Q,1,31 5/4,67
