note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,55,1/1,0/96,0,1,2,n/a,match
1,62,1/1,0/96,0,1,1,n/a,match
2,52,3/8,1/1,1,1 1/1,2,n/a,match
3,64,3/8,1/1,1,1 1/1,1,n/a,match
4,67,3/8,1/1,1,1 1/1,0,n/a,match
5,62,1/8,11/8,2,1 11/8,1,n/a,ornamentation
6,64,1/2,3/2,3,1 3/2,1,0,repetition
7,53,3/8,2/1,4,2,2,n/a,match
8,62,3/8,2/1,4,2,1,n/a,match
9,69,3/8,2/1,4,2,0,n/a,match
10,67,1/8,19/8,5,2 3/8,0,n/a,ornamentation
11,69,1/2,5/2,6,2 1/2,0,0,repetition
12,55,3/8,3/1,7,2 1/1,2,n/a,match
13,59,3/8,3/1,7,2 1/1,1,n/a,match
14,67,3/8,3/1,7,2 1/1,0,n/a,match
15,65,1/8,27/8,8,2 11/8,0,n/a,ornamentation
16,67,1/8,7/2,9,2 3/2,0,n/a,ornamentation
17,65,1/8,29/8,10,2 13/8,0,n/a,ornamentation
18,64,1/8,15/4,11,2 7/4,0,n/a,ornamentation
19,62,1/8,31/8,12,2 15/8,0,n/a,ornamentation
20,48,1/1,4/1,13,3,4,n/a,match
21,55,1/1,4/1,13,3,3,n/a,match
22,60,1/1,4/1,13,3,1,n/a,match
23,64,1/1,4/1,13,3,0,n/a,match
24,45,1/1,5/1,14,3 1/1,4,n/a,match
25,57,1/1,5/1,14,3 1/1,3,n/a,match
26,60,1/1,5/1,14,3 1/1,1,n/a,match
27,64,1/1,5/1,14,3 1/1,0,0,repetition
28,47,3/4,6/1,15,4,4,n/a,match
29,55,3/4,6/1,15,4,3,n/a,match
30,62,3/4,6/1,15,4,1,n/a,match
31,53,1/4,27/4,16,4 3/4,3,n/a,ornamentation
32,48,1/2,7/1,17,4 1/1,4,n/a,match
33,52,1/2,7/1,17,4 1/1,3,n/a,match
34,64,1/2,7/1,17,4 1/1,1,n/a,match
35,47,1/2,15/2,18,4 3/2,4,1,adaptation
36,62,1/2,15/2,18,4 3/2,1,2,adaptation
37,45,1/2,8/1,19,5,4,n/a,match
38,53,1/2,8/1,19,5,3,n/a,match
39,50,1/2,9/1,20,5 1/1,4,n/a,match
40,53,1/2,9/1,20,5 1/1,3,n/a,match
41,57,1/2,9/1,20,5 1/1,2,n/a,match
42,62,1/2,9/1,20,5 1/1,0,n/a,match
43,65,1/4,19/2,21,5 3/2,0,n/a,match
44,59,1/4,39/4,22,5 7/4,2,n/a,match
45,48,3/4,10/1,23,6,4,n/a,match
46,55,3/4,10/1,23,6,3,n/a,match
47,60,3/4,10/1,23,6,2,n/a,match
48,64,3/4,10/1,23,6,0,n/a,match
49,47,1/4,43/4,24,6 3/4,4,1,adaptation
50,45,1/1,11/1,25,6 1/1,4,n/a,match
51,57,1/1,11/1,25,6 1/1,3,n/a,match
52,60,1/1,11/1,25,6 1/1,0,n/a,match
53,64,1/1,11/1,25,6 1/1,1,0,repetition
54,57,1/2,12/1,26,7,3,0,repetition
55,61,1/2,12/1,26,7,0,n/a,ficta
56,64,1/2,12/1,26,7,1,0,repetition
57,57,1/2,25/2,27,7 1/2,2,n/a,match
58,64,1/2,25/2,27,7 1/2,1,n/a,match
59,53,1/2,13/1,28,7 1/1,2,n/a,match
60,62,1/2,13/1,28,7 1/1,0,n/a,match
61,65,1/2,13/1,28,7 1/1,1,n/a,match
62,55,1/2,27/2,29,7 3/2,2,n/a,match
63,64,1/2,27/2,29,7 3/2,0 and 1,n/a,match
64,57,1/4,14/1,30,8,2,n/a,match
65,61,1/4,14/1,30,8,1,n/a,ficta
66,62,1/4,57/4,31,8 1/4,0,n/a,match
67,58,1/2,29/2,32,8 1/2,2,n/a,match
68,62,1/2,29/2,32,8 1/2,1,n/a,match
69,62,1/2,29/2,32,8 1/2,0,n/a,match
70,57,1/4,15/1,33,8 1/1,2,n/a,match
71,64,1/4,15/1,33,8 1/1,1,n/a,match
72,62,1/4,61/4,34,8 5/4,0,n/a,ornamentation
73,61,1/2,31/2,35,8 3/2,0,n/a,match
74,50,1/2,16/1,36,9,2,n/a,match
75,62,1/2,16/1,36,9,0 and 1,n/a,match
76,57,1/2,33/2,37,9 1/2,3,n/a,match
77,65,1/2,33/2,37,9 1/2,0,n/a,match
78,46,1/2,17/1,38,9 1/1,4,n/a,match
79,58,1/2,17/1,38,9 1/1,3,n/a,match
80,67,1/2,17/1,38,9 1/1,0,n/a,match
81,48,1/2,35/2,39,9 3/2,4,n/a,match
82,57,1/2,35/2,39,9 3/2,3,n/a,match
83,69,1/2,35/2,39,9 3/2,0,n/a,match
84,50,1/4,18/1,40,10,4,n/a,match
85,54,1/4,18/1,40,10,3,n/a,ficta
86,67,1/4,73/4,41,10 1/4,0,n/a,match
87,51,1/2,37/2,42,10 1/2,4,n/a,match
88,55,1/2,37/2,42,10 1/2,3,n/a,match
89,67,1/2,37/2,42,10 1/2,0,n/a,match
90,50,1/4,19/1,43,10 1/1,4,n/a,match
91,57,1/4,19/1,43,10 1/1,3,n/a,match
92,66,1/4,19/1,43,10 1/1,0,n/a,match
93,67,1/4,77/4,44,10 5/4,0,n/a,match
94,69,1/4,39/2,45,10 3/2,0,n/a,match
95,66,1/4,79/4,46,10 7/4,0,n/a,match
96,43,1/1,20/1,47,11,4,n/a,match
97,55,1/1,20/1,47,11,3,n/a,match
98,67,1/1,20/1,47,11,0,n/a,match
99,48,1/2,21/1,48,11 1/1,4,n/a,match
100,55,1/2,21/1,48,11 1/1,2,n/a,match
101,64,1/2,21/1,48,11 1/1,1,n/a,match
102,67,1/2,21/1,48,11 1/1,0,0,repetition
103,69,1/4,43/2,49,11 3/2,0,n/a,match
104,71,1/4,87/4,50,11 7/4,0,n/a,match
105,48,1/1,22/1,51,12,4,0,repetition
106,52,1/1,22/1,51,12,2,n/a,match
107,64,1/1,22/1,51,12,1,0,repetition
108,72,1/1,22/1,51,12,0,n/a,match
109,45,1/4,23/1,52,12 1/1,4,n/a,match
110,57,1/4,23/1,52,12 1/1,2,n/a,match
111,64,1/4,23/1,52,12 1/1,1,n/a,match
112,72,1/4,23/1,52,12 1/1,0,n/a,match
113,71,1/4,93/4,53,12 5/4,0,n/a,ornamentation
114,69,1/4,47/2,54,12 3/2,0,n/a,ornamentation
115,67,1/4,95/4,55,12 7/4,0,n/a,ornamentation
116,50,1/1,24/1,56,13,4,n/a,match
117,57,1/1,24/1,56,13,2,0,repetition
118,65,1/1,24/1,56,13,1,n/a,match
119,69,1/1,24/1,56,13,0,n/a,match
120,50,1/2,25/1,57,13 1/1,4,n/a,match
121,53,1/2,25/1,57,13 1/1,2,4,adaptation
122,57,1/2,25/1,57,13 1/1,3,n/a,match
123,65,1/2,25/1,57,13 1/1,1,0,repetition
124,69,1/2,25/1,57,13 1/1,0,n/a,match
125,64,1/2,51/2,58,13 3/2,1,n/a,match
126,50,1/2,26/1,59,14,2,n/a,match
127,53,1/2,26/1,59,14,4,n/a,match
128,57,1/2,26/1,59,14,3,0,repetition
129,62,1/2,26/1,59,14,1,n/a,match
130,69,1/2,26/1,59,14,0,n/a,match
131,67,1/2,53/2,60,14 1/2,0,2,adaptation
132,53,1/4,27/1,61,14 1/1,4,0,repetition
133,57,1/4,27/1,61,14 1/1,3,n/a,match
134,60,1/4,27/1,61,14 1/1,1,n/a,match
135,65,1/4,27/1,61,14 1/1,0,4,adaptation
136,58,1/4,109/4,62,14 5/4,3,n/a,ornamentation
137,57,1/2,55/2,63,14 3/2,3,0,repetition
138,46,3/4,28/1,64,15,4,n/a,match
139,53,3/4,28/1,64,15,2,0,repetition
140,58,3/4,28/1,64,15,3,n/a,match
141,62,3/4,28/1,64,15,1,n/a,match
142,65,3/4,28/1,64,15,0,n/a,match
143,48,1/4,115/4,65,15 3/4,4,n/a,match
144,50,1/2,29/1,66,15 1/1,4,n/a,match
145,53,1/2,29/1,66,15 1/1,2,n/a,match
146,58,1/2,29/1,66,15 1/1,3,0,repetition
147,48,1/2,59/2,67,15 3/2,4,n/a,match
148,52,1/2,59/2,67,15 3/2,2,n/a,match
149,57,1/2,59/2,67,15 3/2,3,n/a,match
150,50,1/4,30/1,68,16,4,2,adaptation
151,46,1/4,121/4,69,16 1/4,4,n/a,match
152,45,1/4,61/2,70,16 1/2,4,n/a,match
153,55,1/4,61/2,70,16 1/2,3,0,repetition
154,43,1/4,123/4,71,16 3/4,4,n/a,match
155,45,1/4,31/1,72,16 1/1,4,n/a,match
156,48,1/4,31/1,72,16 1/1,2,2,adaptation
157,55,1/4,125/4,73,16 5/4,3,n/a,ornamentation
158,54,1/2,63/2,74,16 3/2,3,0,repetition
159,43,1/1,32/1,75,17,4,n/a,match
160,50,1/1,32/1,75,17,2,n/a,match
161,55,1/1,32/1,75,17,3,n/a,match
162,43,1/1,33/1,76,17 1/1,4,0,repetition
163,50,1/1,33/1,76,17 1/1,2,0,repetition
164,55,1/1,33/1,76,17 1/1,3,0,repetition
165,62,1/1,33/1,76,17 1/1,1,n/a,match
166,55,1/2,34/1,77,18,2,n/a,match
167,62,1/2,34/1,77,18,1,n/a,match
168,67,1/2,34/1,77,18,0,2,adaptation
169,62,1/2,69/2,78,18 1/2,1,0,repetition
170,52,1/2,35/1,79,18 1/1,2,n/a,match
171,64,1/2,35/1,79,18 1/1,1,n/a,match
172,67,1/2,35/1,79,18 1/1,0,n/a,match
173,67,1/2,71/2,80,18 3/2,0,0,repetition
174,53,1/1,36/1,81,19,2,n/a,match
175,62,1/1,36/1,81,19,1,n/a,match
176,69,1/1,36/1,81,19,0,n/a,match
177,55,1/2,37/1,82,19 1/1,2 and 3,n/a,match
178,59,1/2,37/1,82,19 1/1,1,n/a,match
179,67,1/2,37/1,82,19 1/1,0,n/a,match
180,43,1/4,75/2,83,19 3/2,4,n/a,match
181,65,1/4,151/4,84,19 7/4,0,n/a,ornamentation
182,48,1/2,38/1,85,20,4,n/a,match
183,55,1/2,38/1,85,20,3,n/a,match
184,60,1/2,38/1,85,20,1,n/a,match
185,64,1/2,38/1,85,20,0,n/a,match
186,55,1/2,77/2,86,20 1/2,3,0,repetition
187,45,1/2,39/1,87,20 1/1,4,n/a,match
188,57,1/2,39/1,87,20 1/1,3,n/a,match
189,60,1/2,39/1,87,20 1/1,1,n/a,match
190,64,1/2,39/1,87,20 1/1,0,0,repetition
191,60,1/2,79/2,88,20 3/2,1,n/a,match
192,47,1/1,40/1,89,21,4,n/a,match
193,55,1/1,40/1,89,21,3,n/a,match
194,62,1/1,40/1,89,21,1,n/a,match
195,48,1/2,41/1,90,21 1/1,4,n/a,match
